,Angkatan,Jenis Kelamin,Tinggal,Frekuensi Kategori,Jenis,Transaksi,Membantu,Perbandingan_frekuensi,E-Wallet,Alasan,Domisili,Frekuensi,Transportasi,Membeli makanan dan minuman,"Tagihan (Pulsa, Listrik, PAM, dll)",Online Shop / E-Commerce,"Entertainment (Netflix, Spotify, Viu, dll)",Voucher Game,"Berbagi (KitaBisa, Sumbangan Online, dll)",Menghindari uang fisik (Takut tertular virus Covid-19),Terbiasa sejak sebelum pandemi,Tidak bisa keluar rumah untuk mengambil uang di ATM,Penggunaan E-Wallet yang mudah dan praktis,Merchant tempat transaksi mewajibkan anda untuk membayar menggunakan E-Wallet,Sering ada promo dan diskon
168,2019,Pria,Bersama keluarga,>7 kali,"Gopay, OVO, DANA","Membeli makanan dan minuman, Online Shop / E-Commerce",Ya,Meningkat,OVO,"Menghindari uang fisik (Takut tertular virus Covid-19), Penggunaan E-Wallet yang mudah dan praktis, Sering ada promo dan diskon",Jabodetabek,8,0,1,0,1,0,0,0,1,0,0,1,0,1
169,2019,Pria,Bersama keluarga,1 - 3 kali,Gopay,Membeli makanan dan minuman,Ya,Meningkat,Gopay,"Menghindari uang fisik (Takut tertular virus Covid-19), Tidak bisa keluar rumah untuk mengambil uang di ATM, Penggunaan E-Wallet yang mudah dan praktis",Jabodetabek,3,0,1,0,0,0,0,0,1,0,1,1,0,0
170,2019,Wanita,Bersama keluarga,1 - 3 kali,"Gopay, OVO","Membeli makanan dan minuman, Entertainment (Netflix, Spotify, Viu, dll), Berbagi (KitaBisa, Sumbangan Online, dll)",Ya,Menurun,Gopay,"Terbiasa sejak sebelum pandemi, Penggunaan E-Wallet yang mudah dan praktis",Luar Pulau Jawa,2,0,1,0,0,1,0,1,0,1,0,1,0,0
171,2019,Pria,Bersama keluarga,1 - 3 kali,"Gopay, Jenius","Membeli makanan dan minuman, Entertainment (Netflix, Spotify, Viu, dll), Voucher Game",Ya,Tidak terdampak,Gopay,"Terbiasa sejak sebelum pandemi, Penggunaan E-Wallet yang mudah dan praktis, Merchant tempat transaksi mewajibkan anda untuk membayar menggunakan E-Wallet",Jabodetabek,2,0,1,0,0,1,1,0,0,1,0,1,1,0
172,2019,Pria,Bersama keluarga,1 - 3 kali,"ShopeePay, Gopay, OVO, DANA, Jenius","Tagihan (Pulsa, Listrik, PAM, dll), Online Shop / E-Commerce, Entertainment (Netflix, Spotify, Viu, dll), Voucher Game, Berbagi (KitaBisa, Sumbangan Online, dll)",Ya,Meningkat,DANA,"Terbiasa sejak sebelum pandemi, Merchant tempat transaksi mewajibkan anda untuk membayar menggunakan E-Wallet",Jabodetabek,2,0,0,1,1,1,1,1,0,1,0,0,1,0
173,2019,Pria,Bersama keluarga,4 - 7 kali,"Gopay, OVO",Membeli makanan dan minuman,Ya,Tidak terdampak,OVO,"Menghindari uang fisik (Takut tertular virus Covid-19), Penggunaan E-Wallet yang mudah dan praktis, Sering ada promo dan diskon",Pulau Jawa (selain Jabodetabek),7,0,1,0,0,0,0,0,1,0,0,1,0,1
174,2019,Pria,Bersama keluarga,4 - 7 kali,"Gopay, OVO",Membeli makanan dan minuman,Ya,Tidak terdampak,OVO,"Terbiasa sejak sebelum pandemi, Penggunaan E-Wallet yang mudah dan praktis, Sering ada promo dan diskon",Jabodetabek,7,0,1,0,0,0,0,0,0,1,0,1,0,1
175,2019,Pria,Bersama keluarga,4 - 7 kali,Gopay,"Tagihan (Pulsa, Listrik, PAM, dll), Online Shop / E-Commerce, Voucher Game, Berbagi (KitaBisa, Sumbangan Online, dll)",Ya,Meningkat,Gopay,"Terbiasa sejak sebelum pandemi, Penggunaan E-Wallet yang mudah dan praktis",Jabodetabek,5,0,0,1,1,0,1,1,0,1,0,1,0,0
176,2019,Pria,Bersama keluarga,1 - 3 kali,"Gopay, DANA","Membeli makanan dan minuman, Tagihan (Pulsa, Listrik, PAM, dll), Voucher Game",Ya,Meningkat,Gopay,"Tidak bisa keluar rumah untuk mengambil uang di ATM, Penggunaan E-Wallet yang mudah dan praktis",Luar Pulau Jawa,2,0,1,1,0,0,1,0,0,0,1,1,0,0
177,2019,Pria,Bersama keluarga,4 - 7 kali,"Gopay, OVO","Transportasi, Membeli makanan dan minuman, Online Shop / E-Commerce, Voucher Game",Ya,Tidak terdampak,OVO,"Merchant tempat transaksi mewajibkan anda untuk membayar menggunakan E-Wallet, Sering ada promo dan diskon",Jabodetabek,7,1,1,0,1,0,1,0,0,0,0,0,1,1
178,2019,Wanita,Bersama keluarga,1 - 3 kali,"ShopeePay, Gopay, OVO, DANA","Transportasi, Membeli makanan dan minuman, Tagihan (Pulsa, Listrik, PAM, dll), Online Shop / E-Commerce, Entertainment (Netflix, Spotify, Viu, dll), Berbagi (KitaBisa, Sumbangan Online, dll)",Ya,Tidak terdampak,Gopay,"Menghindari uang fisik (Takut tertular virus Covid-19), Terbiasa sejak sebelum pandemi, Penggunaan E-Wallet yang mudah dan praktis, Sering ada promo dan diskon",Jabodetabek,3,1,1,1,1,1,0,1,1,1,0,1,0,1
179,2019,Wanita,Bersama keluarga,4 - 7 kali,"ShopeePay, Gopay, OVO, DANA","Membeli makanan dan minuman, Online Shop / E-Commerce, Entertainment (Netflix, Spotify, Viu, dll), transfer",Ya,Meningkat,ShopeePay,"Tidak bisa keluar rumah untuk mengambil uang di ATM, Penggunaan E-Wallet yang mudah dan praktis, Sering ada promo dan diskon",Jabodetabek,6,0,1,0,1,1,0,0,0,0,1,1,0,1
